Device TU106
--------------------------------------------------------------------------- ----------------------------------------------------------------------------------------------------
Metric Name                                                                 Metric Description                                                                                  
lts__t_sectors_srcunit_tex_aperture_peer_op_membar_lookup_hit               # of LTS sectors from unit TEX accessing peer memory (peermem) for memory barriers that hit    
lts__t_sectors_aperture_peer_op_atom_lookup_miss                            # of LTS sectors accessing peer memory (peermem) for all atomics that missed                   
lts__t_sectors_op_atom_dot_alu                                              # of LTS sectors for atomic ALU (non-CAS)                                                      
lts__t_requests_srcunit_tex_op_read                                         # of LTS requests from unit TEX for reads                                                      
idc__request_cycles_active                                                  # of cycles where IDC processed requests from SM                                               
lts__t_sectors_srcunit_l1_aperture_peer_op_write                            # of LTS sectors from unit L1 accessing peer memory (peermem) for writes                       
smsp__inst_executed_pipe_cbu_pred_on_any                                    # of warp instructions executed by cbu with at least 1 thread predicated on                    
lts__t_sectors_aperture_device_op_atom                                      # of LTS sectors accessing device memory (vidmem) for all atomics                              
sm__mio_pq_read_cycles_active                                               # of cycles where MIOP PQ sent register operands to a pipeline                                 
lts__t_requests_aperture_peer_op_write_lookup_miss                          # of LTS requests accessing peer memory (peermem) for writes that missed                       
lts__t_sectors_srcunit_tex                                                  # of LTS sectors from unit TEX                                                                 
smsp__pipe_tensor_cycles_active                                             # of cycles where tensor pipe was active                                                       
l1tex__t_bytes_pipe_lsu_mem_global_op_atom                                  # of bytes requested for global atomics                                                        
lts__t_sectors_srcunit_tex_aperture_sysmem_op_write_lookup_miss             # of LTS sectors from unit TEX accessing system memory (sysmem) for writes that missed         
l1tex__data_pipe_lsu_wavefronts_cmd_read                                    # of local/global/shared read wavefronts processed by Data-Stage                               
